PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,%SteamUse,%Electricity,%NaturalGas,%OtherFuelUse
Office,Lake union,1986,1.0,4.0,35526,,2520483.25,17.57,0.0,100.0,0.0,
Office,Delridge,1988,1.0,2.0,30659,9.0,3580035.0,76.48,0.0,68.81,31.19,0.0
Other,Downtown,1991,1.0,2.0,26579,,8163413.0,298.91,0.0,35.75,64.25,
Supermarket/Grocery Store,North,1996,1.0,1.0,44755,56.0,11521140.0,338.58,0.0,51.42,48.58,
Office,Lake union,1987,1.0,3.0,33176,89.0,1426279.5,35.96,0.0,60.47,39.53,
Mixed Use Property,Lake union,2003,1.0,5.0,109046,,27119380.0,565.65,0.0,69.91,30.1,0.0
Hotel,Downtown,1926,1.0,11.0,36240,97.0,2094525.0,113.41,50.16,23.93,25.9,0.0
Office,Magnolia / queen anne,1940,1.0,2.0,20671,98.0,638507.125,24.76,0.0,31.06,68.94,
Worship Facility,Northwest,2002,1.0,1.0,24955,42.0,630653.0,19.17,0.0,49.24,50.76,0.0
Other,Northeast,1929,1.0,3.0,27908,,1756668.0,50.55,0.0,52.75,47.25,0.0
Office,Magnolia / queen anne,1987,1.0,6.0,50245,98.0,2179719.75,28.63,0.0,86.64,13.36,
Other,Magnolia / queen anne,1965,1.0,1.0,23169,,234144.0,1.63,0.0,100.0,0.0,0.0
Mixed Use Property,Magnolia / queen anne,1961,1.0,2.0,37600,,1174197.0,43.19,0.0,35.39,64.61,0.0
Office,Magnolia / queen anne,1972,1.0,5.0,66762,69.0,3632613.75,25.32,0.0,100.0,0.0,
Other,Southeast,1921,1.0,2.0,41022,,3787648.25,26.41,0.0,100.0,0.0,
Mixed Use Property,Downtown,1909,1.0,3.0,20620,,747456.875,20.78,0.0,54.86,45.14,
Office,Downtown,1925,1.0,18.0,335064,68.0,22104512.0,582.28,27.55,72.39,0.05,
Worship Facility,Northeast,2008,1.0,2.0,70292,35.0,1789710.0,44.35,0.0,61.41,38.6,0.0
K-12 School,Southwest,1922,1.0,2.0,33462,76.0,3987215.5,185.23,0.0,14.42,85.58,
Office,Lake union,1926,1.0,1.0,37740,1.0,7442314.5,73.48,0.0,93.71,6.29,
Other,Lake union,1928,1.0,3.0,55200,,11566123.0,254.16,0.0,67.49,32.52,0.0
Other,North,1923,1.0,2.0,21462,,1109924.0,7.74,0.0,100.0,0.0,0.0
Office,Downtown,1925,1.0,18.0,335064,67.0,23230284.0,608.53,27.35,72.61,0.05,0.0
Mixed Use Property,Southeast,1990,1.0,2.0,47560,72.0,1242764.0,35.14,0.0,53.83,46.17,0.0
Warehouse,Magnolia / queen anne,1997,1.0,4.0,106041,94.0,1123943.0,25.58,0.0,65.78,34.22,
Other,Lake union,2001,1.0,3.0,123940,,11521702.0,80.32,0.0,100.0,0.0,
Retail Store,East,1996,1.0,3.0,45743,85.0,5762597.0,93.67,0.0,79.88,20.12,0.0
Laboratory,Magnolia / queen anne,1962,1.0,2.0,34416,,12015936.0,422.45,0.0,38.91,61.09,
Retail Store,Downtown,1925,1.0,1.0,23562,,387279.0,12.68,0.0,44.14,55.86,0.0
Other,Greater duwamish,1907,1.0,5.0,36000,,1111293.75,43.04,0.0,31.17,68.83,
Office,Downtown,1900,1.0,6.0,89355,66.0,4178233.5,31.97,0.0,98.52,1.48,
Office,North,1974,1.0,2.0,24291,87.0,920430.625,6.42,0.0,100.0,0.0,
Other,Magnolia / queen anne,1961,1.0,1.0,26000,,3895403.0,120.26,34.04,65.96,0.0,0.0
Office,Downtown,1986,1.0,12.0,100717,89.0,4757299.5,33.17,0.0,100.0,0.0,
Office,Downtown,1909,1.0,6.0,64488,81.0,2891605.0,20.18,0.0,99.99,0.01,
Office,Greater duwamish,1982,1.0,2.0,40029,69.0,1471914.25,10.26,0.0,100.0,0.0,
Mixed Use Property,Greater duwamish,1947,1.0,1.0,30496,,1959703.0,44.55,0.0,65.84,34.17,0.0
K-12 School,East,1912,1.0,4.0,27800,8.0,1187058.0,39.1,0.0,43.71,56.29,0.0
K-12 School,Greater duwamish,1925,1.0,1.0,70762,87.0,3606416.0,168.88,0.0,13.62,86.38,
Office,Downtown,1971,1.0,21.0,363100,74.0,19594950.0,136.6,0.0,100.0,0.0,0.0
Hospital,Lake union,2000,1.0,7.0,159080,17.0,46518024.0,1185.15,0.0,59.89,40.11,0.0
Supermarket/Grocery Store,Greater duwamish,1953,1.0,1.0,26092,40.0,7619445.0,173.75,0.0,65.69,34.31,
Office,Southeast,2003,1.0,3.0,63681,71.0,4439034.0,30.95,0.0,100.0,0.0,0.0
Other,East,1927,1.0,3.0,31191,,5975230.0,173.05,0.0,52.34,47.66,0.0
Office,Greater duwamish,1925,1.0,4.0,72000,89.0,2729167.75,23.48,0.0,96.46,3.54,
Non-Refrigerated Warehouse,Delridge,1982,1.0,2.0,36600,83.0,288191.0,2.01,0.0,100.0,0.0,0.0
Hotel,East,1928,1.0,6.0,35770,56.0,2640980.25,112.34,0.0,22.91,77.09,
Office,North,1988,1.0,3.0,28841,55.0,1459199.75,33.42,0.0,65.47,34.53,
Worship Facility,Southwest,1948,1.0,2.0,35864,75.0,1228113.5,43.64,0.0,38.09,61.91,
Senior Care Community,Downtown,1999,1.0,5.0,90185,,10105379.0,193.94,0.0,73.51,26.49,
Retail Store,Greater duwamish,1914,1.0,1.0,20000,63.0,662658.0,4.62,0.0,100.0,0.0,0.0
Office,Northwest,1981,1.0,6.0,86483,56.0,6361236.5,44.35,0.0,100.0,0.0,
Office,Southeast,1967,1.0,2.0,23250,55.0,904236.0,6.3,0.0,100.0,0.0,
Warehouse,Greater duwamish,1937,1.0,1.0,52325,67.0,808968.1875,18.03,0.0,66.8,33.2,
Office,Lake union,1912,1.0,2.0,27788,80.0,2004777.0,36.06,0.0,76.13,23.88,0.0
Office,Downtown,1999,1.0,4.0,70000,82.0,3925806.0,27.37,0.0,100.0,0.0,0.0
Non-Refrigerated Warehouse,Greater duwamish,1969,1.0,1.0,20500,64.0,228212.0,1.59,0.0,100.0,0.0,0.0
Senior Care Community,Central,2013,1.0,6.0,72805,28.0,7369591.0,175.92,0.0,63.37,36.63,0.0
Supermarket/Grocery Store,Lake union,1957,1.0,1.0,28808,29.0,9232576.0,226.73,0.0,61.88,38.12,
Non-Refrigerated Warehouse,Greater duwamish,1928,1.0,2.0,25955,,1762174.0,12.28,0.0,100.0,0.0,0.0
Supermarket/Grocery Store,Southwest,1946,1.0,2.0,25762,100.0,2347893.0,16.37,0.0,100.0,0.0,0.0
Retail Store,Southeast,1966,1.0,1.0,37883,93.0,10591549.0,316.9,0.0,50.26,49.74,0.0
Other,Greater duwamish,1994,3.0,1.0,22800,,2222097.5,101.5,0.0,16.11,83.89,
Other,Downtown,1981,1.0,33.0,429405,98.0,274682208.0,1921.82,0.0,99.95,0.05,
Office,Greater duwamish,1904,1.0,4.0,58970,,1723642.0,41.22,0.0,63.28,36.72,0.0
Retail Store,Downtown,1917,1.0,2.0,147545,69.0,6787070.0,169.75,0.0,60.9,39.1,
Warehouse,Northwest,1969,1.0,1.0,25658,,1063960.125,18.87,0.0,76.66,23.34,
Hotel,Greater duwamish,1992,1.0,3.0,22452,85.0,1244150.0,41.88,0.0,42.15,57.85,
Worship Facility,East,1910,1.0,2.0,24600,69.0,331059.5,5.66,0.0,78.03,21.97,
K-12 School,North,1949,1.0,2.0,160645,75.0,6779173.0,270.18,0.0,28.73,71.27,
Other,North,1949,1.0,1.0,11285,,645665.375,14.37,0.0,66.88,33.12,
K-12 School,Ballard,1931,1.0,3.0,117116,83.0,5722325.5,256.31,0.0,18.03,81.97,
Office,Southeast,2010,1.0,2.0,25880,14.0,1838121.0,21.78,0.0,89.44,10.57,0.0
Office,Greater duwamish,1900,1.0,2.0,52554,83.0,2951331.25,83.86,0.0,53.53,46.47,
Office,Lake union,1959,1.0,4.0,32297,91.0,1477321.0,10.3,0.0,100.0,0.0,0.0
K-12 School,Greater duwamish,1971,1.0,2.0,52609,67.0,1801941.75,46.51,0.0,59.17,40.83,
K-12 School,Delridge,1958,1.0,1.0,46797,86.0,2075891.0,73.47,0.0,38.4,61.6,
K-12 School,Delridge,1963,1.0,1.0,145341,75.0,5499097.0,206.01,0.0,33.91,66.09,
Mixed Use Property,Lake union,1988,1.0,2.0,19237,,15480681.0,515.71,0.0,42.91,57.09,
Warehouse,Greater duwamish,1953,1.0,1.0,42420,34.0,965425.1875,29.39,0.0,49.13,50.87,
Warehouse,Downtown,1992,1.0,3.0,33238,14.0,1632472.0,11.38,0.0,100.0,0.0,
K-12 School,Southwest,2002,1.0,2.0,208981,80.0,8164853.0,207.79,0.0,59.95,40.05,
Office,Central,1962,1.0,2.0,54984,65.0,3504957.0,85.51,0.0,62.23,37.77,0.0
Mixed Use Property,Central,2004,1.0,6.0,97229,100.0,1021754.688,7.12,0.0,100.0,0.0,
Non-Refrigerated Warehouse,Southwest,1965,1.0,1.0,152365,86.0,1243807.0,19.98,0.0,80.29,19.71,0.0
Other,Central,1991,1.0,1.0,45000,,3505497.0,137.66,0.0,30.0,70.0,
Non-Refrigerated Warehouse,Greater duwamish,1965,1.0,2.0,50000,,4116805.0,28.7,0.0,100.0,0.0,0.0
University,East,1993,1.0,2.0,99765,,3616057.0,89.39,0.0,61.53,38.47,0.0
K-12 School,East,1923,1.0,4.0,46100,75.0,2177064.75,78.19,25.19,50.41,24.4,
Supermarket/Grocery Store,Northeast,1965,1.0,1.0,32822,43.0,9143764.0,236.34,0.0,59.09,40.91,0.0
Mixed Use Property,East,1998,1.0,5.0,38409,94.0,3299335.0,78.64,0.0,63.45,36.55,0.0
Office,Southeast,1960,1.0,1.0,15398,93.0,387810.0,7.79,0.0,71.57,28.43,
Office,Downtown,1973,1.0,5.0,168115,79.0,9213841.0,64.23,0.0,100.0,0.0,0.0
Office,Downtown,1929,1.0,22.0,384302,98.0,9861998.0,68.75,0.0,100.0,0.0,0.0
Office,East,1962,1.0,2.0,20570,2.0,2946756.25,85.55,0.0,52.19,47.81,
Other,Magnolia / queen anne,1994,1.0,2.0,140000,,13480326.0,293.05,0.0,68.0,32.01,0.0
Office,Downtown,1902,1.0,4.0,39030,99.0,756267.0,12.36,0.0,79.69,20.32,0.0
K-12 School,Delridge,1958,1.0,1.0,46797,86.0,1911611.0,62.2,0.0,44.59,55.41,0.0
Supermarket/Grocery Store,Greater duwamish,1965,1.0,1.0,21603,16.0,5807879.0,119.57,0.0,70.49,29.51,0.0
Mixed Use Property,Lake union,1954,1.0,3.0,67380,65.0,2654804.0,66.6,0.0,60.74,39.26,0.0
Office,Central,2013,1.0,6.0,41929,100.0,562479.0,3.92,0.0,100.0,0.0,0.0
Office,Downtown,1923,1.0,11.0,102846,96.0,5327249.5,281.55,65.34,34.66,0.0,
Other,Magnolia / queen anne,1921,1.0,2.0,26300,,3537841.5,116.94,0.0,43.47,56.53,
Other,Magnolia / queen anne,1961,1.0,3.0,22960,,2266983.0,95.38,0.0,23.92,76.08,
Hospital,East,1920,1.0,8.0,374466,97.0,78652064.0,3894.01,60.58,39.42,0.0,0.0
K-12 School,Southeast,2001,1.0,3.0,78804,92.0,2447651.0,53.45,0.0,67.78,32.22,0.0
Office,Downtown,1985,1.0,30.0,620338,67.0,59124384.0,1241.23,0.63,69.94,29.43,0.0
Office,Southwest,1984,1.0,3.0,28304,5.0,1961581.5,13.67,0.0,100.0,0.0,
Retail Store,Greater duwamish,1958,1.0,1.0,74178,54.0,5229981.0,124.92,0.0,63.34,36.66,0.0
Retail Store,Ballard,1996,1.0,1.0,23500,53.0,1137967.5,13.29,0.0,89.8,10.2,
Refrigerated Warehouse,Greater duwamish,1951,1.0,1.0,41550,99.0,448676.0,3.13,0.0,100.0,0.0,0.0
